date, pm25, o3, no2, so2, co
2020/11/6, 33, 31, 15, 1, 1
2020/11/7, 32, 34, 18, 1, 2
2020/11/8, 53, 34, 19, 1, 2
2020/11/9, 60, 12, 30, 1, 4
2020/11/10, 79, 26, 21, 1, 2
2020/11/11, 57, 21, 8, , 
2020/11/12, 14, 17, 12, , 
2020/11/13, 16, 11, 9, 1, 1
2020/11/14, 29, 16, 13, , 1
2020/11/15, 33, 32, 11, 1, 
2020/11/16, 32, 25, 12, , 
2020/11/17, 19, 21, 13, , 
2020/11/18, 28, 21, 14, , 
2020/11/19, 27, 24, 18, , 
2020/11/20, 36, 23, 13, , 1
2020/11/21, 29, 22, 14, , 1
2020/11/22, 41, 20, 4, , 
2020/11/23, 22, 15, 9, , 
2020/11/24, 24, 20, 16, , 
2020/11/25, 24, 8, 26, 1, 4
2020/11/26, 45, 24, 14, 1, 1
2020/11/27, 36, 8, 17, 1, 3
2020/11/28, 29, 18, 13, , 1
2020/11/29, 31, 21, 15, , 1
2020/11/30, 31, 29, 11, 1, 2
2020/12/1, 36, 28, 8, , 
2020/12/2, 31, 20, 11, , 
2020/12/3, 22, 22, 19, 1, 1
2020/12/4, 32, 24, 18, 1, 
2020/12/5, 36, 20, , , 
2020/12/8, 25, 19, 13, , 
2020/12/9, 29, 12, 21, 1, 1
2020/12/10, 41, 11, 18, 1, 2
2020/12/11, 42, 17, 23, 1, 2
2020/12/12, 56, 13, 19, 1, 3
2020/12/13, 57, 19, 12, 1, 1
2020/12/14, 35, 8, 18, , 1
2020/12/15, 33, 20, 13, , 
2020/12/16, 30, 24, 12, , 
2020/12/17, 28, 24, 10, , 
2020/12/18, 16, 22, 26, 1, 
2020/12/19, 38, 14, 29, 1, 2
2020/12/20, 54, 4, 32, 1, 4
2020/12/21, 69, 7, 26, 1, 6
2020/12/22, 66, 23, 17, 1, 4
2020/12/23, 43, 19, 20, 1, 1
2020/12/24, 32, 29, 14, 1, 
2020/12/25, 33, 30, 3, , 
2020/12/26, 22, 18, 6, , 
2020/12/27, 25, 18, 14, , 
2020/12/28, 43, 21, 22, 1, 1
2020/12/29, 47, 23, 11, , 
2020/12/30, 23, 26, 19, , 
2020/12/31, 31, 27, 10, , 
2021/1/1, 22, 20, 14, , 
2021/1/2, 38, 24, 8, , 
2021/1/3, 22, 20, 15, , 
2021/1/4, 37, 19, 12, , 
2020/7/2, 42, 31, 9, 1, 
2020/7/3, 38, 27, 4, 1, 
2020/7/4, 38, 25, 3, 1, 2
2020/7/5, 39, 30, 5, 1, 
2020/7/6, 73, 21, 5, 1, 1
2020/7/7, 21, 27, 7, 1, 2
2020/7/8, 26, 28, 6, , 3
2020/7/9, 39, 40, 6, 1, 2
2020/7/10, 51, 17, 4, 1, 1
2020/7/11, 32, 26, 2, 1, 2
2020/7/12, 23, 32, 3, 1, 2
2020/7/13, 22, 29, 11, , 3
2020/7/14, 40, , 7, , 1
2020/7/15, 32, 14, 2, 1, 
2020/7/16, 14, 19, 6, 1, 
2020/7/17, 22, 17, 8, 1, 1
2020/7/18, 25, 36, 6, 1, 1
2020/7/19, 25, , 5, , 2
2020/7/20, 41, 38, 8, 1, 1
2020/7/21, 37, 30, 11, 1, 1
2020/7/22, 37, 22, 7, 1, 
2020/7/23, 32, 32, 12, 1, 1
2020/7/29, 30, 39, 9, 1, 1
2020/7/30, 43, 42, 13, 1, 1
2020/7/31, 39, 24, 11, 1, 1
2020/8/1, 37, 35, 9, 1, 1
2020/8/2, 44, 30, 4, 1, 1
2020/8/3, 41, 36, 7, 1, 1
2020/8/4, 41, 28, 7, 1, 1
2020/8/5, 46, 42, 9, 1, 1
2020/8/6, 38, 37, 12, 1, 1
2020/8/7, 43, 25, 12, 1, 1
2020/8/8, 43, 34, 7, 1, 1
2020/8/9, 39, 37, 4, 1, 1
2020/8/10, 43, 44, 10, 1, 2
2020/8/11, 50, 53, 10, 1, 1
2020/8/12, 53, 37, 11, 1, 1
2020/8/13, 44, 31, 10, 1, 
2020/8/14, 43, 24, 8, 1, 
2020/8/15, 51, 17, 3, 1, 
2020/8/16, 48, 17, 2, 1, 
2020/8/17, 39, 23, 4, 1, 
2020/8/18, 29, 31, 9, 1, 1
2020/8/19, 32, 22, 11, 1, 1
2020/8/20, 41, 22, 12, 1, 1
2020/8/21, 37, 51, 10, 1, 1
2020/8/22, 49, 39, 11, 1, 3
2020/8/23, 48, 38, 8, 1, 1
2020/8/24, 45, 38, 11, 1, 1
2020/8/25, 42, 36, 9, 1, 1
2020/8/26, 43, 25, 9, 1, 
2020/8/27, 28, 14, 13, 1, 1
2020/8/28, 36, 23, 12, 1, 2
2020/8/29, 38, 23, 7, 1, 1
2020/8/30, 39, 22, 4, 1, 
2020/8/31, 22, 23, 9, 1, 1
2020/9/1, 37, 20, 5, 1, 
2020/9/2, 31, 16, 5, , 1
2020/9/3, 26, 16, 10, , 1
2020/9/4, 34, 30, 11, , 1
2020/9/5, 34, 26, 8, , 1
2020/9/6, 33, 34, 7, , 1
2020/9/7, 46, 28, 5, , 1
2020/9/8, 39, 32, 8, , 1
2020/9/9, 39, 28, 9, , 1
2020/9/10, 45, 13, 7, , 1
2020/9/11, 33, 14, 5, , 
2020/9/12, 24, 18, 5, , 
2020/9/13, 29, 24, 7, , 1
2020/9/14, 35, 22, 8, , 
2020/9/15, 28, 18, 11, , 1
2020/9/16, 32, 25, 9, , 
2020/9/17, 33, 33, 11, , 1
2020/9/18, 34, 20, 5, , 
2020/9/19, 30, 22, 7, , 1
2020/9/20, 30, 21, 4, 1, 1
2020/9/21, 34, 19, 12, , 
2020/9/22, 35, 26, 15, , 
2020/9/23, 35, 31, 12, , 1
2020/9/24, 42, 30, 14, , 2
2020/9/25, 55, 24, 13, , 1
2020/9/26, 60, 39, 8, , 1
2020/9/27, 66, 27, 5, , 
2020/9/28, 31, 20, 8, , 
2020/9/29, 28, 23, 8, , 1
2020/9/30, 36, 26, 6, , 
2020/10/1, 24, 28, 11, , 
2020/4/2, 28, 23, 9, 1, 1
2020/4/3, 14, 28, 7, 1, 1
2020/4/4, 12, 26, 2, 1, 1
2020/4/5, 13, 25, , 1, 
2020/4/8, 23, 25, 12, 1, 
2020/4/9, 30, 28, 10, 1, 
2020/4/10, 21, 26, 6, 1, 
2020/4/11, 15, 28, 4, 1, 
2020/4/12, 17, 37, 8, 1, 
2020/4/13, 31, 34, 4, 1, 
2020/4/14, 28, 34, 8, 1, 
2020/4/15, 24, 35, 12, 1, 
2020/4/16, 24, 32, 13, 1, 
2020/4/17, 30, 36, 8, 1, 
2020/4/18, 26, 33, 7, 1, 1
2020/4/19, 24, 44, 7, 1, 
2020/4/20, 38, 30, 10, 1, 1
2020/4/21, 25, 36, 15, 1, 
2020/4/22, 30, 35, 6, 1, 
2020/4/23, 23, 39, 11, 1, 
2020/4/24, 30, 32, 14, 1, 1
2020/4/25, 44, 37, 13, 1, 1
2020/4/26, 44, 33, 5, 1, 
2020/4/27, 34, 32, 3, 1, 
2020/4/28, 16, 32, 7, 1, 
2020/4/29, 25, 29, 8, 1, 1
2020/4/30, 30, 26, 3, 1, 
2020/5/1, 37, 29, 12, 1, 3
2020/5/2, 29, 34, 8, 1, 2
2020/5/3, 31, 42, 8, 1, 2
2020/5/4, 37, 32, 8, 1, 1
2020/5/5, 23, 26, 6, 1, 
2020/5/6, 21, 29, 7, 1, 
2020/5/7, 27, 34, 12, 1, 1
2020/5/8, 25, 32, 8, 1, 2
2020/5/9, 24, 26, 4, 1, 2
2020/5/10, 21, 34, 7, 1, 2
2020/5/11, 28, 35, 11, 1, 2
2020/5/12, 38, 29, 6, 1, 2
2020/5/13, 22, 29, 9, 1, 2
2020/5/14, 26, 41, 12, 1, 3
2020/5/15, 31, 42, 8, 1, 3
2020/5/16, 42, 31, 4, 1, 2
2020/5/17, 22, 33, 5, 1, 3
2020/5/18, 33, 26, 7, 1, 3
2020/5/19, 34, 27, 4, 1, 1
2020/5/20, 33, 29, 5, 1, 1
2020/5/21, 30, 38, 10, 1, 3
2020/5/22, 25, 39, 8, 1, 3
2020/5/23, 38, 32, 2, 1, 2
2020/5/24, 32, 24, 2, 1, 1
2020/5/25, 35, 20, 2, 1, 2
2020/5/26, 40, 19, 6, 1, 2
2020/5/27, 28, 28, 6, 1, 3
2020/5/28, 20, 16, 4, 1, 2
2020/5/29, 23, 16, 4, 1, 2
2020/5/30, 18, 32, 5, 1, 3
2020/5/31, 15, 24, 3, 1, 2
2020/6/1, 14, 25, 8, 1, 2
2020/6/2, 24, 30, 8, 1, 4
2020/6/3, 26, 43, 10, 1, 6
2020/6/4, 43, 40, 11, 1, 6
2020/6/5, 52, 35, 10, 1, 
2020/6/6, 49, 34, 6, 1, 
2020/6/7, 31, 20, 4, 1, 1
2020/6/8, 30, 24, 11, 1, 
2020/6/9, 31, 34, 15, 1, 
2020/6/10, 39, 32, 3, 1, 1
2020/6/11, 48, 26, 6, 1, 
2020/6/12, 45, 36, 8, 1, 
2020/6/13, 35, 27, 3, 1, 
2020/6/14, 20, 17, 3, 1, 
2020/6/15, 26, 17, 3, 1, 
2020/6/16, 26, 24, 9, 1, 1
2020/6/17, 35, 29, 11, 1, 1
2020/6/18, 39, 25, 6, 1, 
2020/6/19, 24, 30, 5, 1, 
2020/6/20, 19, 39, 5, 1, 
2020/6/21, 31, 41, 6, 1, 
2020/6/22, 45, 19, 3, , 
2020/6/23, 18, 38, 8, 1, 
2020/6/24, 34, 35, 10, 1, 
2020/6/25, 43, 40, 11, 1, 
2020/6/26, 34, 45, 11, 1, 
2020/6/27, 45, 39, 8, 1, 
2020/6/28, 41, 33, 6, 1, 
2020/6/29, 32, 28, 11, 1, 
2020/6/30, 22, 26, 6, 1, 1
2020/7/1, 23, 25, 10, 1, 
2020/1/2, 20, 21, 18, 1, 2
2020/1/3, 30, 15, 23, 1, 4
2020/1/4, 39, 16, 19, 1, 3
2020/1/5, 44, 23, 7, 1, 1
2020/1/6, 20, 14, 22, 1, 2
2020/1/7, 33, 21, 19, 1, 2
2020/1/8, 33, 23, 16, 1, 1
