date, pm25, o3, no2, so2, co
2017/2/20, 57, , , , 
2017/2/21, 44, , , , 
2017/2/22, 44, , , , 
2017/2/23, 58, , , , 
2017/2/24, 64, , , , 
2017/2/25, 48, , , , 
2017/2/26, 28, , , , 
2017/2/27, 28, , , , 
2017/2/28, 47, , , , 
2017/3/1, 59, , , , 
2017/3/2, 40, , , , 
2017/3/3, 43, , , , 
2017/3/4, 36, , , , 
2017/3/5, 58, , , , 
2017/3/6, 53, , , , 
2017/3/7, 52, , , , 
2017/3/8, 51, , , , 
2017/3/9, 38, , , , 
2017/3/10, 44, , , , 
2017/3/11, 46, , , , 
2017/3/12, 54, , , , 
2017/3/13, 57, , , , 
2017/3/14, 52, , , , 
2017/3/15, 44, , , , 
2017/3/16, 40, , , , 
2017/3/17, 37, , , , 
2017/3/18, 42, , , , 
2017/3/19, 31, , , , 
2017/3/20, 35, , , , 
2017/3/21, 40, , , , 
2017/3/22, 47, , , , 
2017/3/23, 39, , , , 
2017/3/24, 51, , , , 
2017/3/25, 56, , , , 
2017/3/26, 58, , , , 
2017/3/27, 41, , , , 
2017/3/28, 47, , , , 
2017/3/29, 27, , , , 
2017/3/30, 34, , , , 
2017/3/31, 31, , , , 
2017/4/1, 39, , , , 
2016/10/2, 12, , , , 
2016/10/3, 24, , , , 
2016/10/4, 21, , , , 
2016/10/5, 19, , , , 
2016/10/6, 25, , , , 
2016/10/7, 42, , , , 
2016/10/8, 40, , , , 
2016/10/9, 36, , , , 
2016/10/10, 18, , , , 
2016/10/11, 31, , , , 
2016/10/12, 31, , , , 
2016/10/13, 32, , , , 
2016/10/14, 26, , , , 
2016/10/15, 34, , , , 
2016/10/16, 33, , , , 
2016/10/17, 37, , , , 
2016/10/18, 34, , , , 
2016/10/21, 43, , , , 
2016/10/22, 20, , , , 
2016/10/23, 21, , , , 
2016/10/24, 21, , , , 
2016/10/25, 32, , , , 
2016/10/26, 33, , , , 
2016/10/27, 44, , , , 
2016/10/28, 40, , , , 
2016/10/29, 38, , , , 
2016/10/30, 36, , , , 
2016/10/31, 41, , , , 
2016/11/1, 39, , , , 
2016/11/2, 46, , , , 
2016/11/3, 54, , , , 
2016/11/4, 62, , , , 
2016/11/5, 43, , , , 
2016/11/6, 47, , , , 
2016/11/7, 43, , , , 
2016/11/8, 40, , , , 
2016/11/9, 58, , , , 
2016/11/10, 57, , , , 
2016/11/11, 39, , , , 
2016/11/12, 54, , , , 
2016/11/13, 34, , , , 
2016/11/14, 33, , , , 
2016/11/15, 50, , , , 
2016/11/16, 49, , , , 
2016/11/17, 28, , , , 
2016/11/18, 48, , , , 
2016/11/19, 52, , , , 
2016/11/20, 37, , , , 
2016/11/21, 22, , , , 
2016/11/22, 28, , , , 
2016/11/23, 36, , , , 
2016/11/24, 40, , , , 
2016/11/25, 50, , , , 
2016/11/26, 62, , , , 
2016/11/27, 61, , , , 
2016/11/28, 37, , , , 
2016/11/29, 44, , , , 
2016/11/30, 47, , , , 
2016/12/1, 29, , , , 
2016/12/2, 28, , , , 
2016/12/3, 32, , , , 
2016/12/4, 39, , , , 
2016/12/5, 45, , , , 
2016/12/6, 52, , , , 
2016/12/7, 47, , , , 
2016/12/8, 56, , , , 
2016/12/9, 59, , , , 
2016/12/10, 44, , , , 
2016/12/11, 52, , , , 
2016/12/12, 58, , , , 
2016/12/13, 48, , , , 
2016/12/14, 43, , , , 
2016/12/15, 65, , , , 
2016/12/16, 42, , , , 
2016/12/17, 53, , , , 
2016/12/18, 72, , , , 
2016/12/19, 52, , , , 
2016/12/20, 49, , , , 
2016/12/21, 60, , , , 
2016/12/22, 63, , , , 
2016/12/23, 78, , , , 
2016/12/24, 55, , , , 
2016/12/25, 59, , , , 
2016/12/26, 41, , , , 
2016/12/27, 46, , , , 
2016/12/28, 43, , , , 
2016/12/29, 45, , , , 
2016/12/30, 40, , , , 
2016/12/31, 40, , , , 
2017/1/1, 48, , , , 
2017/1/2, 50, , , , 
2016/7/2, 34, , , , 
2016/7/3, 25, , , , 
2016/7/4, 26, , , , 
2016/7/5, 35, , , , 
2016/7/6, 28, , , , 
2016/7/7, 45, , , , 
2016/7/8, 50, , , , 
2016/7/9, 29, , , , 
2016/7/10, 20, , , , 
2016/7/11, 16, , , , 
2016/7/12, 29, , , , 
2016/7/13, 37, , , , 
2016/7/14, 39, , , , 
2016/7/15, 26, , , , 
2016/7/16, 38, , , , 
