date, pm25, o3, no2, so2, co
2021/5/26, 14, 45, 4, 1, 1
2021/5/27, 41, 29, 5, , 1
2021/5/28, 19, 28, 3, , 1
2021/5/29, 11, 29, 3, , 1
2021/5/30, 11, 26, 3, , 1
2021/5/31, 11, 21, 4, , 1
2021/6/1, 10, 41, 7, 1, 1
2021/4/2, 12, 21, 5, , 1
2021/4/3, 13, 33, 12, , 2
2021/4/4, 18, 33, 14, 1, 2
2021/4/5, 20, 33, 5, 1, 1
2021/4/6, 19, 28, 7, 1, 1
2021/4/7, 11, 23, 14, 1, 2
2021/4/8, 16, 27, 8, , 1
2021/4/9, 13, 28, 11, 1, 2
2021/4/10, 19, 38, 4, , 2
2021/4/11, 24, 26, 4, 1, 1
2021/4/12, 23, 26, 7, 1, 1
2021/4/13, 15, 30, 8, 1, 1
2021/4/14, 20, 28, 5, , 1
2021/4/15, 20, 28, 7, , 1
2021/4/16, 24, 29, 7, , 1
2021/4/17, 17, 24, 7, , 1
2021/4/18, 10, 27, 10, 1, 1
2021/4/19, 21, 29, 15, 1, 3
2021/4/20, 30, 41, 10, 1, 2
2021/4/21, 30, 38, 8, , 1
2021/4/22, 31, 31, 5, , 1
2021/4/23, 14, 36, 6, , 1
2021/4/24, 18, 47, 5, , 1
2021/4/25, 36, 42, 7, , 1
2021/4/26, 35, 24, 6, , 1
2021/4/27, 13, 33, 8, , 2
2021/4/28, 18, 30, 15, , 2
2021/4/29, 31, 25, 16, , 2
2021/4/30, 31, 28, 5, , 1
2021/5/1, 11, 26, 6, , 1
2021/3/2, 21, 28, 7, , 1
2021/3/3, 23, 29, 10, , 2
2021/3/4, 34, 27, 11, , 1
2021/3/5, 27, 27, 6, , 1
2021/3/6, 13, 29, 7, , 1
2021/3/7, 20, 28, 7, , 1
2021/3/8, 24, 27, 14, , 2
2021/3/9, 29, 32, 10, 1, 2
2021/3/10, 39, 29, 14, 1, 2
2021/3/13, 15, 30, 5, , 1
2021/3/14, 15, 32, 5, , 1
2021/3/15, 14, 30, 5, , 1
2021/3/16, 21, 26, 12, 1, 1
2021/3/17, 27, 33, 10, , 2
2021/3/18, 31, 26, 12, , 2
2021/3/19, 44, 30, 7, , 1
2021/3/20, 16, 32, 16, , 2
2021/3/21, 20, 34, 17, 1, 3
2021/3/22, 32, 33, 16, , 2
2021/3/23, 36, 28, 20, 1, 3
2021/3/24, 30, 21, 21, 1, 3
2021/3/25, 30, 24, 24, 1, 3
2021/3/26, 44, 27, 4, 1, 1
2021/3/27, 27, 27, 5, , 1
2021/3/28, 11, 24, 4, 1, 1
2021/3/29, 15, 28, 10, 1, 1
2021/3/30, 13, 36, 11, , 2
2021/3/31, 22, 36, 4, , 1
2021/4/1, 24, 27, 8, , 1
2021/2/2, 34, 25, 5, , 1
2021/2/3, 15, 26, 10, , 2
2021/2/4, 17, 24, 19, 1, 2
2021/2/5, 20, 21, 27, 1, 4
2021/2/6, 43, 28, 12, , 2
2021/2/7, 39, 18, 19, , 3
2021/2/8, 30, 26, 15, , 2
2021/2/9, 34, 14, 26, 1, 3
2021/2/10, 43, 25, 16, , 3
2021/2/11, 44, 26, 15, , 2
2021/2/12, 39, 24, 12, , 2
2021/2/13, 26, 24, 9, 1, 1
2021/2/14, 25, 19, 15, 1, 2
2021/2/15, 33, 22, 13, 1, 2
2021/2/16, 34, 25, 17, , 2
2021/2/17, 21, 27, 7, , 1
2021/2/18, 18, 21, 13, 1, 2
2021/2/19, 21, 20, 17, , 2
2021/2/20, 30, 28, 9, , 2
2021/2/23, 33, 33, 9, , 2
2021/2/24, 31, 35, 6, , 1
2021/2/25, 22, 30, 5, , 1
2021/2/26, 17, 30, 10, , 2
2021/2/27, 23, 25, 12, , 2
2021/2/28, 25, 25, 10, , 2
2021/3/1, 27, 28, 13, 1, 2
2021/1/5, 22, 21, 9, , 2
2021/1/6, 18, 21, 8, , 2
2021/1/7, 18, 23, 7, , 2
2021/1/8, 20, 23, 10, , 2
2021/1/9, 21, 25, 7, , 2
2021/1/10, 21, 25, 13, 1, 3
2021/1/11, 27, 9, 27, 1, 5
2021/1/12, 54, 16, 19, 1, 3
2021/1/13, 45, 16, 14, 1, 3
2021/1/14, 44, 6, 22, 1, 3
2021/1/15, 81, 19, 15, 1, 2
2021/1/16, 54, 28, 5, , 1
2021/1/17, 17, 23, 2, , 1
2021/1/18, 22, 21, 5, , 2
2021/1/19, 20, 20, 8, , 2
2021/1/20, 21, 25, 11, , 2
2021/1/21, 28, 21, 15, , 2
2021/1/22, 34, 18, 16, 1, 3
2021/1/23, 44, 25, 3, , 1
2021/1/24, 18, 29, 4, , 1
